Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1551.2065
FDW14,OUT017,1410.101
NCN55,OUT010,628.88446
FDQ58,OUT017,2405.114
FDY38,OUT027,5921.1885
FDH56,OUT046,1856.2057
FDL48,OUT018,671.8644
FDC48,OUT027,2341.3894
FDN33,OUT045,1501.4005
FDA36,OUT017,3089.571
FDT44,OUT017,1867.6946
FDQ56,OUT045,1330.746
NCC54,OUT019,628.88446
FDU11,OUT049,2050.3262
DRL59,OUT013,830.0347
FDM24,OUT049,2393.6252
FDI57,OUT045,3197.5996
DRC12,OUT018,2733.698
NCM42,OUT027,2666.2173
FDA46,OUT010,537.0171
FDA31,OUT013,2820.4746
NCJ31,OUT035,3812.194
FDG52,OUT046,803.95807
NCL19,OUT019,354.76004
FDS10,OUT035,2910.2842
FDX22,OUT010,729.6415
NCF19,OUT035,815.44696
NCE06,OUT046,2656.659
DRC27,OUT046,3850.9463
FDE21,OUT035,1867.6946
NCR42,OUT019,0.43665314
FDX51,OUT018,2733.698
NCR06,OUT018,627.8147
FDU31,OUT027,5561.256
FDU59,OUT017,2668.1477
FDR03,OUT027,5417.229
FDS49,OUT027,2302.4902
FDD48,OUT010,433.67462
NCF18,OUT017,3193.8464
NCD43,OUT027,2705.1165
NCD54,OUT018,1898.491
FDY19,OUT010,433.67462
NCY54,OUT017,2831.9634
NCL19,OUT018,2190.3687
FDP23,OUT010,620.0769
FDC26,OUT013,1791.584
FDR14,OUT010,134.6826
NCS41,OUT035,3047.5586
FDF41,OUT035,3885.9294
FDU34,OUT046,2091.0627
DRH11,OUT046,942.993
FDM03,OUT013,1621.8951
FDS31,OUT017,2910.2842
FDJ20,OUT017,1909.1351
FDV44,OUT027,4934.75
FDG02,OUT049,3060.8337
FDA09,OUT013,2898.7954
FDT04,OUT013,721.24194
FDL58,OUT019,577.3325
FDE52,OUT045,1412.1708
FDW12,OUT035,2405.114
FDL51,OUT017,3260.8235
NCY42,OUT027,3233.0034
FDR07,OUT017,1442.2008
FDN40,OUT045,2393.6252
FDB35,OUT027,2474.5356
FDA22,OUT017,2668.1477
NCL06,OUT046,3874.4502
FDI35,OUT013,2898.7954
NCW42,OUT045,3694.609
NCX06,OUT049,2898.7954
FDC37,OUT027,2666.2173
FDZ14,OUT018,1902.615
DRG49,OUT049,3863.9028
NCG06,OUT045,3966.5342
DRC36,OUT045,2820.4746
FDV21,OUT019,348.7454
FDB53,OUT046,2393.6252
DRP47,OUT019,663.6261
FDA14,OUT013,2393.6252
DRC24,OUT035,2405.114
FDW21,OUT018,1500.2095
NCH29,OUT046,1501.4005
FDU58,OUT013,3060.8337
FDY27,OUT017,2910.2842
FDV56,OUT035,1622.9762
FDT59,OUT046,3929.5168
FDB23,OUT046,3704.9473
FDR49,OUT045,803.95807
FDB03,OUT010,639.2164
FDN39,OUT045,2656.659
FDX02,OUT027,5698.679
FDQ16,OUT027,2666.2173
FDU35,OUT018,1500.2095
NCT29,OUT013,2024.3007
FDZ27,OUT046,803.95807
FDN57,OUT017,2107.7627
FDA03,OUT018,2190.3687
FDZ36,OUT045,3060.8337
NCU05,OUT013,1320.2452
FDT39,OUT018,2190.3687
FDK60,OUT017,1502.4816
FDZ25,OUT017,2758.2832
FDG12,OUT046,2024.3007
DRB01,OUT019,548.0131
NCC43,OUT027,5966.9907
FDX13,OUT019,674.62213
FDM22,OUT049,870.6445
FDJ03,OUT027,1433.5458
FDU14,OUT018,3467.354
FDB33,OUT010,426.3934
FDP27,OUT046,3060.8337
FDO38,OUT010,282.99017
FDE28,OUT027,5852.0693
FDO27,OUT035,1512.8894
DRL23,OUT027,2705.1165
FDS28,OUT046,942.993
FDX24,OUT013,1472.857
FDZ02,OUT035,1512.8894
FDL46,OUT045,1828.73
FDS60,OUT027,4793.9805
NCO06,OUT017,719.1749
FDO16,OUT035,1342.2349
FDC60,OUT049,1398.612
FDA48,OUT018,2960.897
FDZ36,OUT027,4934.75
FDK27,OUT045,1966.5242
FDW23,OUT018,627.8147
FDM14,OUT018,1500.2095
FDM14,OUT013,1621.8951
FDW60,OUT018,2558.4343
FDE21,OUT013,1856.2057
